id,name,website,country,industry,assets,revenue
http://www.forbes.com/companies/icbc/,ICBC,http://www.forbes.com/companies/icbc/,China,Diversified Banks,3124900000000,148700000000
http://www.forbes.com/companies/china-construction-bank/,China Construction Bank,http://www.forbes.com/companies/china-construction-bank/,China,Regional Banks,2449500000000,121300000000
http://www.forbes.com/companies/agricultural-bank-of-china/,Agricultural Bank of China,http://www.forbes.com/companies/agricultural-bank-of-china/,China,Regional Banks,2405400000000,136400000000
http://www.forbes.com/companies/jpmorgan-chase/,JPMorgan Chase,http://www.forbes.com/companies/jpmorgan-chase/,United States of America,Diversified Banks,2435300000000,105700000000
http://www.forbes.com/companies/berkshire-hathaway/,Berkshire Hathaway,http://www.forbes.com/companies/berkshire-hathaway/,United States of America,Investment Banking & Brokerage,493400000000,178800000000
http://www.forbes.com/companies/exxon-mobil/,Exxon Mobil,http://www.forbes.com/companies/exxon-mobil/,United States of America,Integrated Oil & Gas,346800000000,394000000000
http://www.forbes.com/companies/general-electric/,General Electric,http://www.forbes.com/companies/general-electric/,United States of America,Industrial Conglomerates,656600000000,143300000000
http://www.forbes.com/companies/wells-fargo/,Wells Fargo,http://www.forbes.com/companies/wells-fargo/,United States of America,Diversified Banks,1543000000000,88700000000
http://www.forbes.com/companies/bank-of-china/,Bank of China,http://www.forbes.com/companies/bank-of-china/,China,Diversified Banks,2291800000000,105100000000
http://www.forbes.com/companies/petrochina/,PetroChina,http://www.forbes.com/companies/petrochina/,China,Integrated Oil & Gas,386900000000,328500000000
http://www.forbes.com/companies/royal-dutch-shell/,Royal Dutch Shell,http://www.forbes.com/companies/royal-dutch-shell/,Netherlands,Integrated Oil & Gas,357500000000,451400000000
http://www.forbes.com/companies/toyota-motor/,Toyota Motor,http://www.forbes.com/companies/toyota-motor/,Japan,Automobile Manufacturers,385500000000,255600000000
http://www.forbes.com/companies/bank-of-america/,Bank of America,http://www.forbes.com/companies/bank-of-america/,United States of America,Diversified Banks,2113800000000,101500000000
http://www.forbes.com/companies/hsbc-holdings/,HSBC Holdings,http://www.forbes.com/companies/hsbc-holdings/,United Kingdom of Great Britain and Northern Ireland,Diversified Banks,2671300000000,79600000000
http://www.forbes.com/companies/apple/,Apple,http://www.forbes.com/companies/apple/,United States of America,Technology Hardware Storage & Peripherals,225200000000,173800000000
http://www.forbes.com/companies/citigroup/,Citigroup,http://www.forbes.com/companies/citigroup/,United States of America,Diversified Banks,1883400000000,94100000000
http://www.forbes.com/companies/bp/,BP,http://www.forbes.com/companies/bp/,United Kingdom of Great Britain and Northern Ireland,Integrated Oil & Gas,305700000000,379200000000
http://www.forbes.com/companies/chevron/,Chevron,http://www.forbes.com/companies/chevron/,United States of America,Integrated Oil & Gas,253800000000,211800000000
http://www.forbes.com/companies/volkswagen-group/,Volkswagen Group,http://www.forbes.com/companies/volkswagen-group/,,Automobile Manufacturers,446900000000,261500000000
http://www.forbes.com/companies/wal-mart-stores/,Wal-Mart Stores,http://www.forbes.com/companies/wal-mart-stores/,United States of America,Consumer Staples Merchandise Retail,204800000000,476500000000
http://www.forbes.com/companies/gazprom/,Gazprom,http://www.forbes.com/companies/gazprom/,Russian Federation,Integrated Oil & Gas,397200000000,164600000000
http://www.forbes.com/companies/samsung-electronics/,Samsung Electronics,http://www.forbes.com/companies/samsung-electronics/,Korea (Republic of),Semiconductors,202800000000,208900000000
http://www.forbes.com/companies/att/,AT&T,http://www.forbes.com/companies/att/,United States of America,Integrated Telecommunication Services,277800000000,128800000000
http://www.forbes.com/companies/bnp-paribas/,BNP Paribas,http://www.forbes.com/companies/bnp-paribas/,France,Diversified Banks,2480500000000,123200000000
http://www.forbes.com/companies/total/,Total,http://www.forbes.com/companies/total/,France,Integrated Oil & Gas,239100000000,227900000000
http://www.forbes.com/companies/verizon-communications/,Verizon Communications,http://www.forbes.com/companies/verizon-communications/,United States of America,Integrated Telecommunication Services,274100000000,120600000000
http://www.forbes.com/companies/allianz/,Allianz,http://www.forbes.com/companies/allianz/,,Multi-line Insurance,963100000000,131400000000
http://www.forbes.com/companies/china-mobile/,China Mobile,http://www.forbes.com/companies/china-mobile/,Hong Kong,Integrated Telecommunication Services,192800000000,102500000000
http://www.forbes.com/companies/sinopec-china-petroleum/,Sinopec-China Petroleum,http://www.forbes.com/companies/sinopec-china-petroleum/,China,Integrated Oil & Gas,228400000000,445300000000
http://www.forbes.com/companies/petrobras/,Petrobras,http://www.forbes.com/companies/petrobras/,Brazil,Integrated Oil & Gas,319200000000,141200000000
http://www.forbes.com/companies/daimler/,Daimler,http://www.forbes.com/companies/daimler/,,Automobile Manufacturers,232200000000,156600000000
http://www.forbes.com/companies/microsoft/,Microsoft,http://www.forbes.com/companies/microsoft/,United States of America,Application Software,153500000000,83300000000
http://www.forbes.com/companies/axa-group/,AXA Group,http://www.forbes.com/companies/axa-group/,France,Multi-line Insurance,1018900000000,138900000000
http://www.forbes.com/companies/rosneft/,Rosneft,http://www.forbes.com/companies/rosneft/,Russian Federation,Integrated Oil & Gas,229400000000,142600000000
http://www.forbes.com/companies/ibm/,IBM,http://www.forbes.com/companies/ibm/,United States of America,IT Consulting & Other Services,126200000000,99800000000
http://www.forbes.com/companies/nestle/,Nestle,http://www.forbes.com/companies/nestle/,Switzerland,Packaged Foods & Meats,135400000000,99400000000
http://www.forbes.com/companies/mitsubishi-ufj-financial/,Mitsubishi UFJ Financial,http://www.forbes.com/companies/mitsubishi-ufj-financial/,Japan,Diversified Banks,2458900000000,48600000000
http://www.forbes.com/companies/vodafone/,Vodafone,http://www.forbes.com/companies/vodafone/,United Kingdom of Great Britain and Northern Ireland,Integrated Telecommunication Services,235600000000,65100000000
http://www.forbes.com/companies/eni/,Eni,http://www.forbes.com/companies/eni/,Italy,Integrated Oil & Gas,186600000000,152700000000
http://www.forbes.com/companies/procter-gamble/,Procter & Gamble,http://www.forbes.com/companies/procter-gamble/,United States of America,Household Products,142900000000,84700000000
http://www.forbes.com/companies/johnson-johnson/,Johnson & Johnson,http://www.forbes.com/companies/johnson-johnson/,United States of America,Health Care Equipment,132700000000,71300000000
http://www.forbes.com/companies/american-international-group/,American International Group,http://www.forbes.com/companies/american-international-group/,United States of America,Multi-line Insurance,540700000000,68100000000
http://www.forbes.com/companies/banco-santander/,Banco Santander,http://www.forbes.com/companies/banco-santander/,Spain,Diversified Banks,1537300000000,52500000000
http://www.forbes.com/companies/bhp-billiton/,BHP Billiton,http://www.forbes.com/companies/bhp-billiton/,Australia,Diversified Metals & Mining,151000000000,67700000000
http://www.forbes.com/companies/pfizer/,Pfizer,http://www.forbes.com/companies/pfizer/,United States of America,Pharmaceuticals,172100000000,52700000000
http://www.forbes.com/companies/itau-unibanco-holding/,Itaú Unibanco Holding,http://www.forbes.com/companies/itau-unibanco-holding/,Brazil,Diversified Banks,435400000000,67200000000
http://www.forbes.com/companies/ford-motor/,Ford Motor,http://www.forbes.com/companies/ford-motor/,United States of America,Automobile Manufacturers,202000000000,146900000000
http://www.forbes.com/companies/bmw-group/,BMW Group,http://www.forbes.com/companies/bmw-group/,,Automobile Manufacturers,190700000000,101000000000
http://www.forbes.com/companies/commonwealth-bank/,Commonwealth Bank,http://www.forbes.com/companies/commonwealth-bank/,Australia,Diversified Banks,699900000000,41500000000
