id1,id2,score
dbpedia_42156,sales_3693,1.0
dbpedia_30444,sales_3859,1.0
dbpedia_12114,sales_6289,1.0
dbpedia_11895,sales_5013,1.0
dbpedia_38996,sales_4097,1.0
dbpedia_43202,sales_1563,1.0
dbpedia_45893,sales_3776,1.0
dbpedia_37905,sales_1920,1.0
dbpedia_52495,sales_5848,1.0
dbpedia_24650,sales_843,1.0
dbpedia_20104,sales_4707,1.0
dbpedia_15445,sales_5266,1.0
dbpedia_47321,sales_7108,1.0
dbpedia_53809,sales_6372,1.0
dbpedia_29577,sales_2576,1.0
dbpedia_6376,sales_360,1.0
dbpedia_9977,sales_1809,1.0
dbpedia_51923,sales_426,1.0
dbpedia_24331,sales_3375,1.0
dbpedia_33316,sales_1407,1.0
dbpedia_7356,sales_586,1.0
dbpedia_965,sales_2422,1.0
dbpedia_45915,sales_3384,1.0
dbpedia_6153,sales_2420,1.0
dbpedia_64173,sales_5267,1.0
dbpedia_36163,sales_1559,1.0
dbpedia_39983,sales_7201,1.0
dbpedia_18879,sales_4747,1.0
dbpedia_19210,sales_5167,1.0
dbpedia_24403,sales_868,1.0
dbpedia_6602,sales_916,1.0
dbpedia_18844,sales_5395,1.0
dbpedia_19225,sales_2009,1.0
dbpedia_9980,sales_2213,1.0
dbpedia_14478,sales_5062,1.0
dbpedia_10595,sales_2836,1.0
dbpedia_62058,sales_6616,1.0
dbpedia_8146,sales_4527,1.0
dbpedia_18057,sales_1597,1.0
dbpedia_23972,sales_3017,1.0
dbpedia_35758,sales_4009,1.0
dbpedia_900,sales_2131,1.0
dbpedia_27463,sales_4954,1.0
dbpedia_37264,sales_274,1.0
dbpedia_57371,sales_1634,1.0
dbpedia_25129,sales_5782,1.0
dbpedia_22654,sales_453,1.0
dbpedia_49463,sales_940,1.0
dbpedia_19536,sales_2464,1.0
dbpedia_22839,sales_832,1.0
dbpedia_45797,sales_651,1.0
dbpedia_57112,sales_6492,1.0
dbpedia_1284,sales_1165,1.0
dbpedia_9460,sales_6280,1.0
dbpedia_6907,sales_380,1.0
dbpedia_6711,sales_973,1.0
dbpedia_9991,sales_7794,1.0
dbpedia_11644,sales_4538,1.0
dbpedia_56722,sales_486,1.0
dbpedia_24320,sales_5606,1.0
dbpedia_4300,sales_2552,1.0
dbpedia_49242,sales_5283,1.0
dbpedia_26673,sales_402,1.0
dbpedia_49748,sales_878,1.0
dbpedia_42978,sales_1972,1.0
dbpedia_3260,sales_1157,1.0
dbpedia_61901,sales_4275,1.0
dbpedia_9230,sales_1836,1.0
dbpedia_54886,sales_184,1.0
dbpedia_35916,sales_7057,1.0
dbpedia_61663,sales_417,1.0
dbpedia_14040,sales_5282,1.0
dbpedia_86,sales_5826,1.0
dbpedia_17952,sales_2143,1.0
dbpedia_31075,sales_829,1.0
dbpedia_12353,sales_5611,1.0
dbpedia_20063,sales_1414,1.0
dbpedia_25384,sales_1754,1.0
dbpedia_13409,sales_316,1.0
dbpedia_26982,sales_4429,1.0
dbpedia_2749,sales_6059,1.0
dbpedia_60620,sales_5239,1.0
dbpedia_33786,sales_2590,1.0
dbpedia_20963,sales_4040,1.0
dbpedia_59496,sales_3642,1.0
dbpedia_62897,sales_5166,1.0
dbpedia_29597,sales_4572,1.0
dbpedia_13262,sales_2230,1.0
dbpedia_22958,sales_6932,1.0
dbpedia_24138,sales_205,1.0
dbpedia_2783,sales_4440,1.0
dbpedia_4402,sales_1540,1.0
dbpedia_32288,sales_890,1.0
dbpedia_57141,sales_192,1.0
dbpedia_8364,sales_2665,1.0
dbpedia_9550,sales_5024,1.0
dbpedia_12932,sales_581,1.0
dbpedia_56132,sales_867,1.0
dbpedia_11796,sales_1914,1.0
dbpedia_11460,sales_2654,1.0
dbpedia_21278,sales_5906,1.0
dbpedia_47092,sales_1443,1.0
