source_dataset,source_column,target_dataset,target_column,score,notes
forbes,id,Companies,id,1.0,similarity_function=jaro_winkler
forbes,id,Companies,city,0.5833333333333334,similarity_function=jaro_winkler
forbes,id,Companies,industry,0.775,similarity_function=jaro_winkler
forbes,id,Companies,founders,0.5416666666666666,similarity_function=jaro_winkler
forbes,company,Companies,name,0.46428571428571425,similarity_function=jaro_winkler
forbes,company,Companies,founded,0.5238095238095238,similarity_function=jaro_winkler
forbes,company,Companies,country,0.7714285714285715,similarity_function=jaro_winkler
forbes,company,Companies,city,0.46428571428571425,similarity_function=jaro_winkler
forbes,company,Companies,industry,0.4226190476190476,similarity_function=jaro_winkler
forbes,company,Companies,revenue,0.42857142857142855,similarity_function=jaro_winkler
forbes,company,Companies,founders,0.5119047619047619,similarity_function=jaro_winkler
forbes,url,Companies,founded,0.4920634920634921,similarity_function=jaro_winkler
forbes,url,Companies,country,0.4920634920634921,similarity_function=jaro_winkler
forbes,url,Companies,industry,0.4861111111111111,similarity_function=jaro_winkler
forbes,url,Companies,revenue,0.4920634920634921,similarity_function=jaro_winkler
forbes,url,Companies,founders,0.4861111111111111,similarity_function=jaro_winkler
forbes,region,Companies,name,0.47222222222222215,similarity_function=jaro_winkler
forbes,region,Companies,website,0.5396825396825397,similarity_function=jaro_winkler
forbes,region,Companies,founded,0.4365079365079365,similarity_function=jaro_winkler
forbes,region,Companies,country,0.4365079365079365,similarity_function=jaro_winkler
forbes,region,Companies,city,0.47222222222222215,similarity_function=jaro_winkler
forbes,region,Companies,industry,0.4305555555555555,similarity_function=jaro_winkler
forbes,region,Companies,assets,0.4444444444444444,similarity_function=jaro_winkler
forbes,region,Companies,revenue,0.6428571428571429,similarity_function=jaro_winkler
forbes,region,Companies,founders,0.5277777777777778,similarity_function=jaro_winkler
forbes,business_segment,Companies,id,0.5208333333333334,similarity_function=jaro_winkler
forbes,business_segment,Companies,name,0.5416666666666666,similarity_function=jaro_winkler
forbes,business_segment,Companies,website,0.5422619047619048,similarity_function=jaro_winkler
forbes,business_segment,Companies,founded,0.5386904761904762,similarity_function=jaro_winkler
forbes,business_segment,Companies,country,0.4702380952380952,similarity_function=jaro_winkler
forbes,business_segment,Companies,city,0.4375,similarity_function=jaro_winkler
forbes,business_segment,Companies,industry,0.4166666666666667,similarity_function=jaro_winkler
forbes,business_segment,Companies,assets,0.5555555555555555,similarity_function=jaro_winkler
forbes,business_segment,Companies,revenue,0.5422619047619048,similarity_function=jaro_winkler
forbes,business_segment,Companies,founders,0.5,similarity_function=jaro_winkler
forbes,asset_value,Companies,name,0.5606060606060607,similarity_function=jaro_winkler
forbes,asset_value,Companies,website,0.5616883116883117,similarity_function=jaro_winkler
forbes,asset_value,Companies,founded,0.41125541125541126,similarity_function=jaro_winkler
forbes,asset_value,Companies,country,0.41125541125541126,similarity_function=jaro_winkler
forbes,asset_value,Companies,city,0.44696969696969696,similarity_function=jaro_winkler
forbes,asset_value,Companies,industry,0.4772727272727273,similarity_function=jaro_winkler
forbes,asset_value,Companies,assets,0.8575757575757577,similarity_function=jaro_winkler
forbes,asset_value,Companies,revenue,0.6450216450216449,similarity_function=jaro_winkler
forbes,asset_value,Companies,founders,0.4053030303030303,similarity_function=jaro_winkler
forbes,sales_figure,Companies,name,0.5555555555555555,similarity_function=jaro_winkler
forbes,sales_figure,Companies,website,0.5515873015873015,similarity_function=jaro_winkler
forbes,sales_figure,Companies,founded,0.4087301587301588,similarity_function=jaro_winkler
forbes,sales_figure,Companies,country,0.4087301587301588,similarity_function=jaro_winkler
forbes,sales_figure,Companies,industry,0.47222222222222215,similarity_function=jaro_winkler
forbes,sales_figure,Companies,assets,0.5,similarity_function=jaro_winkler
forbes,sales_figure,Companies,revenue,0.5595238095238095,similarity_function=jaro_winkler
forbes,sales_figure,Companies,founders,0.4305555555555555,similarity_function=jaro_winkler
