variant,model,train_total,train_positives,train_negatives,val_f1,val_precision,val_recall,tokens_used,test_f1,test_precision,test_recall,f1,precision,recall
faiss_small,logreg,100,34,66,1.0,1.0,1.0,0,0.9495268138801262,1.0,0.9039039039039038,1.0,1.0,1.0
faiss_small,rf,100,34,66,1.0,1.0,1.0,0,,,,1.0,1.0,1.0
faiss_small,gb,100,34,66,1.0,1.0,1.0,0,,,,1.0,1.0,1.0
faiss_small,hist_gb,100,34,66,0.98989898989899,1.0,0.98,0,,,,0.98989898989899,1.0,0.98
faiss_small,xgb,100,34,66,0.98989898989899,1.0,0.98,0,,,,0.98989898989899,1.0,0.98
faiss_large,logreg,600,200,400,1.0,1.0,1.0,0,0.967551622418879,0.9507246376811594,0.984984984984985,1.0,1.0,1.0
faiss_large,rf,600,200,400,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
faiss_large,gb,600,200,400,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
faiss_large,hist_gb,600,200,400,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
faiss_large,xgb,600,200,400,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
active,logreg,950,531,419,0.9950248756218906,0.9900990099009901,1.0,0,0.9406657018813314,0.9078212290502793,0.975975975975976,0.9950248756218906,0.9900990099009901,1.0
active,xgb,950,531,419,0.9950248756218906,0.9900990099009901,1.0,0,,,,0.9950248756218906,0.9900990099009901,1.0
active,rf,950,531,419,0.99009900990099,0.9803921568627451,1.0,0,,,,0.99009900990099,0.9803921568627451,1.0
active,gb,950,531,419,0.9852216748768473,0.970873786407767,1.0,0,,,,0.9852216748768473,0.970873786407767,1.0
active,hist_gb,950,531,419,0.9803921568627451,0.9615384615384616,1.0,0,,,,0.9803921568627451,0.9615384615384616,1.0
faiss_small_plus_random,logreg,120,34,86,1.0,1.0,1.0,0,0.9561128526645768,1.0,0.9159159159159159,1.0,1.0,1.0
faiss_small_plus_random,rf,120,34,86,1.0,1.0,1.0,0,,,,1.0,1.0,1.0
faiss_small_plus_random,gb,120,34,86,0.9949748743718593,1.0,0.99,0,,,,0.9949748743718593,1.0,0.99
faiss_small_plus_random,hist_gb,120,34,86,0.98989898989899,1.0,0.98,0,,,,0.98989898989899,1.0,0.98
faiss_small_plus_random,xgb,120,34,86,0.98989898989899,1.0,0.98,0,,,,0.98989898989899,1.0,0.98
faiss_large_plus_random,logreg,720,200,520,1.0,1.0,1.0,0,0.9605839416058394,0.9346590909090909,0.987987987987988,1.0,1.0,1.0
faiss_large_plus_random,gb,720,200,520,0.99009900990099,0.9803921568627451,1.0,0,,,,0.99009900990099,0.9803921568627451,1.0
