Platform Type Code,Platform Type,Manufacturer Code,Manufacturer,Platform Code,Platform Name,Generation,Release Year,Status
10,Home Console,1010,Sony,101010,PlayStation,5th,1994,Discontinued
10,Home Console,1010,Sony,101020,PlayStation 2,6th,2000,Discontinued
10,Home Console,1010,Sony,101030,PlayStation 3,7th,2006,Discontinued
10,Home Console,1010,Sony,101040,PlayStation 4,8th,2013,Active
10,Home Console,1010,Sony,101050,PlayStation 4 Pro,8th,2016,Discontinued
10,Home Console,1010,Sony,101060,PlayStation 5,9th,2020,Active
10,Home Console,1010,Sony,101070,PlayStation 5 Pro,9th,2024,Active
10,Home Console,1020,Microsoft,102010,Xbox,6th,2001,Discontinued
10,Home Console,1020,Microsoft,102020,Xbox 360,7th,2005,Discontinued
10,Home Console,1020,Microsoft,102030,Xbox One,8th,2013,Discontinued
10,Home Console,1020,Microsoft,102040,Xbox One S,8th,2016,Active
10,Home Console,1020,Microsoft,102050,Xbox One X,8th,2017,Discontinued
10,Home Console,1020,Microsoft,102060,Xbox Series S,9th,2020,Active
10,Home Console,1020,Microsoft,102070,Xbox Series X,9th,2020,Active
10,Home Console,1030,Nintendo,103010,Nintendo Entertainment System (NES),3rd,1983,Discontinued
10,Home Console,1030,Nintendo,103020,Super Nintendo (SNES),4th,1990,Discontinued
10,Home Console,1030,Nintendo,103030,Nintendo 64,5th,1996,Discontinued
10,Home Console,1030,Nintendo,103040,Nintendo GameCube,6th,2001,Discontinued
10,Home Console,1030,Nintendo,103050,Wii,7th,2006,Discontinued
10,Home Console,1030,Nintendo,103060,Wii U,8th,2012,Discontinued
10,Home Console,1030,Nintendo,103070,Nintendo Switch,8th/9th,2017,Active
10,Home Console,1030,Nintendo,103080,Nintendo Switch 2,9th,2025,Upcoming
10,Home Console,1040,Sega,104010,Sega Master System,3rd,1985,Discontinued
10,Home Console,1040,Sega,104020,Sega Genesis / Mega Drive,4th,1988,Discontinued
10,Home Console,1040,Sega,104030,Sega Saturn,5th,1994,Discontinued
10,Home Console,1040,Sega,104040,Sega Dreamcast,6th,1998,Discontinued
10,Home Console,1050,Atari,105010,Atari 2600,2nd,1977,Discontinued
10,Home Console,1050,Atari,105020,Atari 5200,2nd,1982,Discontinued
10,Home Console,1050,Atari,105030,Atari 7800,3rd,1986,Discontinued
10,Home Console,1050,Atari,105040,Atari Jaguar,5th,1993,Discontinued
