Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_1,Fermats Theorem / Sight Beyond,John B,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Fermats Theorem', 'Sight Beyond']",
mbrainz_2,Tempest / Inner Sense,Psychosis,1998-12-14,United Kingdom of Great Britain and Northern Ireland,"['Tempest', 'Inner Sense']",
mbrainz_3,The Sign's Alive,Lypid,2000-09-05,United States of America,"[""The Sign's Alive (original mix)"", ""The Sign's Alive (radio edit)"", ""The Sign's Alive (File Brazillia dub)"", ""The Sign's Alive (Fila Brazillia vocal)"", ""The Sign's Alive (Pako & Frederik mix)"", 'Compressed']",
mbrainz_4,Surrender,Petalpusher,1999-04-27,United States of America,"['Surrender (Petalpusher original)', ""Surrender (Mig's Naked Seduction dub)"", 'Surrender (Attaboy remix)', ""Surrender (Mig's Naked Seduction vocal)""]",
mbrainz_6,Unreasonable Behaviour,"Garnier, Laurent",2000-07-24,France,"['The Warning', 'City Sphere', 'Forgotten Thoughts', 'The Sound of the Big Babou', 'Unreasonable Behaviour', ""Cycles d'oppositions"", 'The Man With the Red Face', 'Communications From the Lab', 'Greed, Part 1 + 2', 'Dangerous Drive', 'Downfall', 'Last Tribute From the 20th Century', 'Acid Eiffel', 'Smart Move', 'Madness', 'Last Tribute From the 20th Century', 'Communications From the Lab']",27.85 minutes
mbrainz_7,In the Spirit,"Trent, Ron",1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['In the Spirit (The Full Experience)', 'In the Spirit (Kada)', 'In the Spirit (Guitar Alchemy)']",
mbrainz_8,The Dance,"Gallery Collective, The",1996-01-01,United States of America,"['The Dance (The Full Gallery mix)', 'The Dance (Saxxy instrumental mix)', 'The Dance (Sleezy dub mix)']",
mbrainz_9,Come of Age,St. Vitus Dance,1994-01-01,United Kingdom of Great Britain and Northern Ireland,"['Bliss', 'Tunnel Vision', 'Catch the Sun', 'Mystic Vibrations']",
mbrainz_10,Contrax / All Mighty,Decorum,1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Contrax', 'All Mighty']",
mbrainz_11,Electronically Tested,Surgeon,1995-01-01,United Kingdom of Great Britain and Northern Ireland,"['Barrier Method', 'Pork Machine', 'Language Barrier', 'Machine Language']",
mbrainz_12,Devotional,"Alvarado, David",2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['Devotional', 'Sunstone']",
mbrainz_13,Natural Voodoo,Tribal Man,2000-01-01,France,"['Natural Voodoo', 'Janeiro Vibe', 'African Loops']",
mbrainz_14,Bang the Drums / Remnants (release),Tayla,1993-12,United Kingdom of Great Britain and Northern Ireland,"['Bang the Drums', 'Remnants']",
mbrainz_15,The Return / Back to the Future,Alpha Omega,2000-09,United Kingdom of Great Britain and Northern Ireland,"['The Return', 'Back to the Future']",
mbrainz_16,Open Spaces / Science Fusion,Spirit,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Open Spaces', 'Science Fusion']",
mbrainz_17,The Music in Me,"Johnson, Paul",1994-01-01,United States of America,"['The Music in Me', 'Slinky', ""Y'all Stole Them Dances"", 'Life in the Jungle', 'Soft Spot']",
mbrainz_18,The Slippery Track,Mood II Swing,2000-08,Canada,"['The Slippery Track (Wink remix)', 'The Slippery Track (original mix)', 'The Slippery Track (Funk 198 remix)']",
mbrainz_19,On and On,GH-106,1997-01-01,United Kingdom of Great Britain and Northern Ireland,"['XJ6', 'Fantasy', 'On and On']",
mbrainz_20,Subtle Frequencies,"Jackson, Chris",1999-05-15,United States of America,"['Check Our Beats', 'Teleport', 'Back in the Realm', 'Body Control']",
mbrainz_21,Second Area / Think Tank,"Kennedy, Inigo",2001-01,United Kingdom of Great Britain and Northern Ireland,"['Second Area', 'Think Tank']",
