id1,id2,is_true_match,classification
metacritic_11927,sales_7831,,
metacritic_14888,sales_2121,,
metacritic_20392,sales_2392,,
metacritic_8178,sales_862,,
metacritic_15813,sales_1032,,
metacritic_2372,sales_1546,,
metacritic_12160,sales_2900,,
metacritic_19339,sales_4807,,
metacritic_11159,sales_2678,,
metacritic_13878,sales_3329,,
metacritic_15043,sales_240,,
metacritic_12568,sales_3014,,
metacritic_505,sales_7360,,
metacritic_4486,sales_2192,,
metacritic_4648,sales_2197,,
metacritic_6269,sales_190,,
metacritic_727,sales_6426,,
metacritic_1469,sales_7540,,
metacritic_2954,sales_449,,
metacritic_16076,sales_4366,,
metacritic_2084,sales_372,,
metacritic_6405,sales_1520,,
metacritic_17280,sales_6672,,
metacritic_3488,sales_84,,
metacritic_11847,sales_4366,,
metacritic_1866,sales_2500,,
metacritic_259,sales_741,,
metacritic_6205,sales_662,,
metacritic_13366,sales_3740,,
metacritic_15813,sales_1916,,
metacritic_5181,sales_2619,,
metacritic_4422,sales_6106,,
metacritic_5060,sales_6965,,
metacritic_2487,sales_373,,
metacritic_7138,sales_2541,,
metacritic_6717,sales_2814,,
metacritic_5812,sales_5191,,
metacritic_20415,sales_1769,,
metacritic_225,sales_6802,,
metacritic_603,sales_5291,,
metacritic_8539,sales_4092,,
metacritic_16756,sales_6090,,
metacritic_1237,sales_3407,,
metacritic_3514,sales_2243,,
metacritic_17482,sales_1238,,
metacritic_1323,sales_3407,,
metacritic_11159,sales_3534,,
metacritic_15846,sales_3232,,
metacritic_6172,sales_305,,
metacritic_10010,sales_367,,
metacritic_1297,sales_5245,,
metacritic_9157,sales_6516,,
metacritic_1273,sales_7497,,
metacritic_13442,sales_5678,,
metacritic_3093,sales_1533,,
metacritic_937,sales_629,,
metacritic_2273,sales_3785,,
metacritic_10629,sales_3009,,
metacritic_9702,sales_5171,,
metacritic_3758,sales_6042,,
metacritic_9353,sales_188,,
metacritic_2846,sales_190,,
metacritic_10244,sales_7167,,
metacritic_131,sales_4089,,
metacritic_14321,sales_5174,,
metacritic_13854,sales_5344,,
metacritic_13485,sales_4496,,
metacritic_3017,sales_6913,,
metacritic_4548,sales_6353,,
metacritic_937,sales_1088,,
metacritic_1394,sales_1392,,
metacritic_454,sales_2108,,
metacritic_3321,sales_4847,,
metacritic_5433,sales_4131,,
metacritic_7607,sales_6566,,
metacritic_15043,sales_529,,
metacritic_150,sales_4846,,
metacritic_11365,sales_1332,,
metacritic_1965,sales_3809,,
metacritic_12153,sales_3917,,
metacritic_16626,sales_235,,
metacritic_4157,sales_844,,
metacritic_5417,sales_1808,,
metacritic_9242,sales_6233,,
metacritic_4197,sales_950,,
metacritic_10552,sales_3734,,
metacritic_18720,sales_669,,
metacritic_4743,sales_2250,,
metacritic_3644,sales_723,,
metacritic_585,sales_3786,,
metacritic_12153,sales_2610,,
metacritic_16779,sales_435,,
metacritic_10692,sales_3304,,
metacritic_4903,sales_639,,
metacritic_14360,sales_637,,
metacritic_2159,sales_1133,,
metacritic_19869,sales_2952,,
metacritic_1719,sales_2741,,
metacritic_19415,sales_5520,,
metacritic_4803,sales_1274,,
metacritic_15279,sales_1702,,
metacritic_10718,sales_4551,,
metacritic_12531,sales_4234,,
metacritic_9603,sales_6911,,
metacritic_18994,sales_1816,,
metacritic_3216,sales_95,,
metacritic_20456,sales_71,,
metacritic_6346,sales_1843,,
metacritic_14466,sales_7466,,
metacritic_2487,sales_1973,,
metacritic_11257,sales_1886,,
metacritic_3529,sales_1868,,
metacritic_1869,sales_2009,,
metacritic_11440,sales_2813,,
metacritic_15977,sales_3917,,
metacritic_17968,sales_465,,
metacritic_2031,sales_3440,,
metacritic_5444,sales_1236,,
metacritic_16316,sales_4021,,
metacritic_12315,sales_1029,,
metacritic_20187,sales_5497,,
metacritic_10106,sales_4666,,
metacritic_3362,sales_3496,,
metacritic_1695,sales_1728,,
metacritic_12147,sales_6708,,
metacritic_5587,sales_4660,,
metacritic_3214,sales_3237,,
metacritic_11562,sales_4299,,
metacritic_10409,sales_3183,,
metacritic_14302,sales_7357,,
metacritic_6908,sales_3469,,
metacritic_1602,sales_436,,
metacritic_4294,sales_5649,,
metacritic_7473,sales_267,,
metacritic_9494,sales_4849,,
metacritic_18813,sales_5376,,
metacritic_14306,sales_7007,,
metacritic_3226,sales_1975,,
metacritic_3165,sales_2656,,
metacritic_9121,sales_6998,,
metacritic_6639,sales_4619,,
metacritic_1789,sales_710,,
metacritic_674,sales_3235,,
metacritic_1469,sales_6540,,
metacritic_16466,sales_5769,,
metacritic_9612,sales_1236,,
metacritic_4394,sales_1127,,
