Blocking Key Value,Frequency
ofthe,215049
world,114359
ation,44484
ction,41151
legen,40171
egend,40171
battl,39680
attle,39680
night,36652
super,36540
ragon,31152
drago,30420
ndthe,29500
ition,27144
andth,26352
ution,24366
arrio,23600
warri,23128
rrior,23128
oluti,22352
lutio,22225
fight,21384
evolu,21328
volut,21328
dvent,20678
entur,20448
ditio,20056
adven,20045
ventu,19950
nture,19950
editi,19008
ectio,18306
eroes,18067
eofth,16748
heroe,16102
socce,15984
occer,15984
colle,15879
antas,15036
aster,14040
force,13944
riors,13818
arwar,13464
tions,12874
rwars,12702
starw,12615
tarwa,12528
allof,12464
ltima,12410
ultim,12325
lecti,12285
ollec,12144
llect,12144
fanta,11766
imate,11760
timat,11620
under,11310
ighte,10952
final,10912
ghter,10800
thesi,10764
ntasy,10608
shado,10440
hadow,10380
ninja,10349
disne,9916
isney,9916
omcla,9882
stree,9576
treet,9576
maste,9324
softh,8910
tomcl,8855
mclan,8855
clanc,8855
lancy,8855
ancys,8855
racin,8844
acing,8777
chron,8745
kingd,8602
onicl,8584
erman,8547
blood,8265
nicle,8176
gends,8000
inalf,7980
callo,7888
nball,7735
ronic,7696
speed,7622
monst,7526
ights,7208
ghost,7182
tball,7154
black,7084
hroni,6909
ttlef,6902
champ,6783
endof,6696
lfant,6572
alfan,6519
thele,6490
onste,6450
mario,6372
hampi,6370
ampio,6370
mpion,6370
nster,6350
ball2,6348
nalfa,6344
hesim,6336
edfor,6230
eball,6161
forsp,6141
icles,6016
pions,5922
quest,5890
light,5880
tures,5865
madde,5742
adden,5742
ddenn,5742
dennf,5742
ennfl,5742
needf,5712
eedfo,5712
dfors,5712
orspe,5712
rspee,5712
gendo,5700
elege,5635
ingdo,5586
round,5565
ratio,5564
randt,5520
heleg,5508
ombat,5460
ivers,5452
sport,5394
unter,5355
sonic,5311
llofd,5232
lofdu,5232
ofdut,5232
fduty,5232
erati,5148
baseb,5046
aseba,5046
sebal,5046
party,5040
inter,4972
revol,4941
ident,4880
mpire,4816
assin,4784
assas,4738
ssass,4692
sassi,4692
venge,4653
ngdom,4620
thelo,4606
metal,4600
megam,4590
cer20,4560
origi,4545
rigin,4545
riseo,4524
iseof,4524
leagu,4450
eague,4450
tiger,4410
resid,4370
eside,4370
siden,4370
eries,4368
esims,4293
hunte,4263
dente,4218
entev,4218
ntevi,4218
tevil,4218
niver,4182
allen,4094
ccer2,4088
ssins,4085
er200,4070
alive,4067
storm,4040
serie,4028
onshi,3952
fifas,3904
atour,3888
gatou,3869
drive,3854
rhero,3843
dance,3819
